DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
05/03/2018,8:30,,,40.828407,-73.84392,"(40.828407, -73.84392)",BRUCKNER BOULEVARD              ,ZEREGA AVENUE,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3893668,BOX T,PICK-UP TRUCK,,,
05/03/2018,8:30,,,40.605743,-73.898674,"(40.605743, -73.898674)",BELT PARKWAY                    ,,,0,0,0,0,0,0,0,0,Fell Asleep,Unspecified,,,,3892936,SPORT UTILITY / STATION WAGON,TAXI,,,
05/03/2018,8:30,QUEENS,11423,40.710712,-73.77671,"(40.710712, -73.77671)",,,90-24     184 STREET                    ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3893177,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
05/03/2018,8:28,STATEN ISLAND,10301,40.6259,-74.08873,"(40.6259, -74.08873)",HOWARD AVENUE                   ,EDDY STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3893762,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/03/2018,8:25,MANHATTAN,10029,40.790997,-73.94931,"(40.790997, -73.94931)",EAST 103 STREET                 ,PARK AVENUE,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3893972,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/03/2018,8:25,BRONX,10451,40.810196,-73.93068,"(40.810196, -73.93068)",,,200       EAST 135 STREET               ,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3893267,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/03/2018,8:16,,,40.823402,-73.88179,"(40.823402, -73.88179)",BRUCKNER BOULEVARD              ,CLOSE AVENUE,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3893412,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/03/2018,8:15,,,40.74721,-73.92359,"(40.74721, -73.92359)",SKILLMAN AVENUE                 ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3893289,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
05/03/2018,8:15,,,40.69979,-73.950096,"(40.69979, -73.950096)",MARCY AVENUE                    ,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3893739,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
05/03/2018,8:15,QUEENS,11691,40.599697,-73.741356,"(40.599697, -73.741356)",,,619       LANETT AVENUE                 ,0,0,0,0,0,0,0,0,Reaction to Other Uninvolved Vehicle,,,,,3895850,BU,,,,
05/03/2018,8:12,BROOKLYN,11232,40.66327,-73.9951,"(40.66327, -73.9951)",20 STREET                       ,4 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3893540,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
05/03/2018,8:10,BRONX,10460,40.83315,-73.8871,"(40.83315, -73.8871)",EAST 172 STREET                 ,BRYANT AVENUE,,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,3893803,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
